υ(7-1),I(7-1),υ(7-8),I(7-8),υ(7-9),I(7-9),NPA1,NPA2,NPA3,NPA4,NPA5,NPA6,NPA7,NPA8,NPA9,NMR1,NMR2,NMR3,NMR4,NMR5,NMR6,NMR7,NMR8,NMR9,A(6-1-7),A(2-1-7),A(1-7-9),A(1-7-8),A(8-7-9),A(7-8-11),A(7-8-10),A(10-8-11),D(6-1-7-8),D(2-1-7-9),D(2-1-7-8),D(5-6-1-7),D(3-2-1-7),D(1-7-8-11),D(9-7-8-11),D(1-7-8-10),D(9-7-8-10),AD(7-8),AD(7-1),AD(6-8),AD(2-7),AD(7-9),fp(1),fm(1),fp(7),fm(7),fp(8),fm(8),fp(9),fm(9),L-R1,B1-R1,B5-R1,L-R2,B1-R2,B5-R2,L-R3,B1-R3,B5-R3,iso
1551.85,30.69,1739.04,361.56,3198.59,1.52,-0.1036,-0.2187,-0.2537,-0.2403,-0.2518,-0.2192,-0.1533,-0.3584,0.2624,50.7724,51.0397,55.6666,53.0048,55.841,59.5743,35.6235,68.9263,23.3449,122.653,118.5963,115.9856,126.8687,117.1457,119.4303,123.5289,117.0408,0.0142,0.0131,179.9856,179.9991,179.9989,179.9992,0.0005,0.0001,179.9987,1.3396,1.467,3.0299,2.4662,1.0896,-0.0137,-0.1375,-0.1629,-0.0034,-0.1399,-0.2362,-0.0386,-0.031,4.88,1.62,3.42,2.06,1,1,6.28,3.11,3.11,1
1260.22,608.62,1742.25,341.45,3210.46,0.06,-0.1007,-0.2028,-0.2625,-0.0504,-0.2607,-0.2026,-0.1572,-0.3523,0.2648,51.4145,49.7356,55.9256,42.8334,55.9083,58.0797,37.2876,67.8733,23.4221,122.8165,118.5517,115.9552,126.824,117.2208,119.3165,123.6426,117.0409,0.0034,0.0029,179.9968,180,180,179.9999,0.0003,0.0003,180,1.3391,1.4665,3.0313,2.4647,1.0892,-0.0245,-0.1307,-0.1479,-0.0049,-0.1424,-0.2266,-0.0373,-0.0299,4.88,1.62,3.42,2.06,1,1,7.76,1.5,3.26,1
1261.38,582.57,1742.98,342.81,3210.52,2.99,-0.0991,-0.2026,-0.2592,-0.1282,-0.2575,-0.2025,-0.1577,-0.3514,0.2649,51.0106,49.6324,52.433,45.3405,52.5771,58.0165,37.2872,67.7848,23.4302,122.8591,118.5563,115.9339,126.8264,117.2397,119.3419,123.668,116.9901,0.0022,0.0041,179.9986,179.9993,179.9997,179.9996,0.0023,0.0027,180,1.3391,1.4666,3.0322,2.4648,1.0892,-0.0255,-0.1281,-0.1472,-0.006,-0.143,-0.225,-0.0376,-0.0299,4.88,1.62,3.42,2.06,1,1,8.06,1.5,3.24,1
1253.92,219.45,1743.66,130.8,3209.87,1.08,-0.0936,-0.2256,-0.2529,-0.2475,-0.2519,-0.2337,-0.1705,-0.1349,0.2672,48.1853,53.3819,56.1096,55.6314,56.9182,54.7573,40.928,55.0687,23.1403,122.8344,118.5388,115.5811,128.0508,116.3552,115.3178,126.7017,117.9676,35.9626,32.2407,146.3927,179.1897,179.9183,177.6424,3.7332,3.6974,174.927,1.3446,1.471,3.1393,2.4706,1.0888,-0.0183,-0.1167,-0.1654,-0.0327,-0.1258,-0.2101,-0.0377,-0.0346,4.88,1.62,3.42,3,1.52,2.04,6.28,3.11,3.11,1
1254.93,212.62,1745.81,119.83,3206.92,0.3,-0.0909,-0.2086,-0.2621,-0.0548,-0.261,-0.2171,-0.1746,-0.1291,0.2695,48.8757,51.6574,56.2473,45.1225,57.0579,53.2785,42.5887,53.9033,23.2029,122.9551,118.5606,115.5217,127.9811,116.4851,115.2184,126.7785,117.9903,35.4874,31.6798,146.9976,179.1036,179.7947,177.6876,3.6459,3.6473,175.0191,1.3443,1.4704,3.1372,2.4699,1.0886,-0.0315,-0.1103,-0.1467,-0.034,-0.128,-0.2025,-0.0366,-0.0334,4.88,1.62,3.42,3,1.52,2.04,7.76,1.5,3.26,1
1255.45,189.54,1746.55,119.88,3203.49,0.35,-0.0893,-0.2084,-0.2588,-0.1317,-0.2577,-0.2167,-0.1751,-0.1285,0.2697,48.4677,51.4969,52.9308,47.7509,53.6394,53.1394,42.6498,53.702,23.1952,122.9515,118.6029,115.4903,128.0188,116.4823,115.1991,126.8042,117.9854,35.3285,31.5362,147.3559,178.6806,179.3925,177.3934,3.7239,3.8616,175.0211,1.3443,1.4704,3.1371,2.4704,1.0886,-0.0325,-0.1074,-0.1457,-0.0354,-0.1286,-0.2015,-0.0369,-0.0334,4.88,1.62,3.42,3,1.52,2.04,8.09,1.72,3.36,1
1338.17,378.38,1743.35,127.3,3208.46,1.4,-0.1088,-0.2071,-0.3225,0.4368,-0.3218,-0.2155,-0.1705,-0.1358,0.2679,52.5997,50.5781,69.9914,24.1139,70.8883,52.3523,41.9645,55.4378,23.1771,122.9834,118.4629,115.5136,128.1101,116.3631,115.264,126.6775,118.044,35.2177,31.4685,147.1492,179.2856,179.981,177.7531,3.6392,3.6659,174.9418,1.3447,1.4701,3.1395,2.4692,1.0887,-0.0123,-0.128,-0.1735,-0.0232,-0.1268,-0.2045,-0.0383,-0.0344,4.88,1.62,3.42,3,1.52,2.04,6.92,1.5,3.36,1
1253.33,177.12,1740.31,164.8,3206.72,4.95,-0.1041,-0.2182,-0.2488,-0.0289,-0.2505,-0.2257,-0.1683,-0.1389,0.266,51.295,53.1679,55.2739,42.938,56.0203,54.9355,40.9699,56.0473,23.1915,123.3006,118.6027,115.4563,128.3042,116.2282,115.2998,126.6452,118.0421,34.4513,30.5433,148.1756,178.9243,179.6907,177.5683,3.7211,3.7754,174.9351,1.3452,1.4695,3.1444,2.471,1.0889,-0.0116,-0.1461,-0.1701,-0.0007,-0.1237,-0.1856,-0.0374,-0.0325,4.88,1.62,3.42,3,1.52,2.04,7.28,1.54,3.35,1
1205.87,31.4,1745.47,134.61,3191.69,4.08,-0.0872,-0.2248,-0.0363,-0.2426,-0.2459,-0.2434,-0.1689,-0.1361,0.2668,48.2149,53.0396,44.1439,54.8064,56.9443,57.9121,40.7487,55.3838,23.1895,122.8997,118.3357,115.6055,128.0916,116.2851,115.2603,126.7691,117.9519,36.9301,33.1982,145.1993,179.4425,179.7735,178.242,3.3697,3.3716,175.0167,1.3446,1.4712,3.144,2.4688,1.0889,-0.0182,-0.1345,-0.1657,-0.0103,-0.1244,-0.1873,-0.0379,-0.0336,4.88,1.62,3.42,3,1.52,2.04,6.34,1.61,4.56,1
1248.4,50.99,1742.69,129.19,3199.39,0.39,-0.1,-0.212,-0.2791,0.305,-0.2787,-0.2206,-0.1714,-0.1341,0.2678,51.0419,52.0117,61.3265,34.8772,65.4422,53.2578,41.9088,54.9922,23.1571,123.156,118.3847,115.4227,128.2444,116.3209,115.2121,126.7449,118.0326,34.6029,30.6454,148.0345,179.2376,179.7147,177.65,3.6802,3.5572,175.1125,1.3448,1.47,3.1419,2.4686,1.0887,-0.0202,-0.1237,-0.1605,-0.0235,-0.1267,-0.2027,-0.0375,-0.034,4.88,1.62,3.42,3,1.52,2.04,9.28,1.51,3.87,1
1244.53,151.96,1748.14,129.77,3196.14,0.47,-0.0845,-0.228,-0.1209,-0.0416,-0.2312,-0.2259,-0.1738,-0.1294,0.2696,48.532,50.0562,46.9866,43.802,53.1669,55.8262,42.8206,54.002,23.2721,123.5688,118.1567,115.5714,128.0343,116.3814,115.1208,126.8468,118.0205,35.8534,32.0127,146.6237,178.9418,179.7411,177.794,3.579,3.4929,175.134,1.344,1.4704,3.15,2.4633,1.0886,-0.0249,-0.1199,-0.1558,-0.0216,-0.1282,-0.1908,-0.037,-0.0327,4.88,1.62,3.42,3,1.52,2.04,7.3,1.7,5.05,1
1220.84,19.67,1744.43,149.17,3202.73,1.24,-0.1665,0.4664,-0.3209,-0.0121,-0.267,-0.21,-0.1783,-0.1301,0.2728,64.0539,25.9737,69.9487,39.6523,60.936,53.1223,48.4925,54.4445,23.0328,124.4599,119.2553,116.0274,127.3389,116.633,115.265,126.5798,118.1463,36.3635,32.318,147.3597,177.6313,178.1413,176.2874,4.0365,4.8199,174.8562,1.3443,1.4671,3.1538,2.472,1.0877,-0.015,-0.1441,-0.1625,-0.0111,-0.1277,-0.1897,-0.0353,-0.033,4.88,1.62,3.42,3,1.52,2.04,7.3,1.66,3.71,1
1258.29,14.36,1748.1,20.7,3199.69,4.36,-0.0888,-0.2305,-0.2518,-0.2508,-0.2507,-0.239,-0.1743,-0.1309,0.2694,47.408,55.2082,56.0129,56.2261,56.528,55.5235,42.4086,47.5833,23.1906,122.6844,118.5908,114.9475,127.5635,117.4692,119.1264,126.855,113.9511,46.9457,42.4165,135.9093,178.8099,179.4939,178.1448,3.566,5.036,173.2532,1.3442,1.4773,3.1833,2.4758,1.0879,-0.0117,-0.1443,-0.1817,-0.0158,-0.1246,-0.1828,-0.0405,-0.0366,4.88,1.62,3.42,4.07,1.55,3.16,6.28,3.11,3.11,1
1255.91,267.71,1745.78,96.94,3186.22,0.21,-0.0897,-0.2303,-0.2516,-0.2513,-0.2509,-0.2392,-0.1651,-0.1317,0.2688,47.4397,55.1691,55.964,55.9469,56.5438,55.6534,40.2626,48.6924,23.1636,122.4563,118.7854,115.7622,127.7718,116.4417,115.1245,126.676,118.0233,48.0156,43.6045,134.523,179.0427,179.7532,179.1052,2.7783,5.8495,172.267,1.3437,1.476,3.1866,2.477,1.0893,-0.0111,-0.1365,-0.1843,-0.0217,-0.128,-0.1865,-0.0395,-0.0362,4.88,1.62,3.42,6.38,1.56,4.46,6.28,3.11,3.11,1
1256.77,255.48,1746.23,95.15,3201.46,0.2,-0.0897,-0.2299,-0.2517,-0.2511,-0.251,-0.2389,-0.1667,-0.1299,0.2683,47.5034,54.8175,56.1089,56.0992,56.5552,55.6465,40.4986,48.7034,23.1545,122.746,118.5138,115.5509,128.0447,116.3772,115.1769,126.9348,117.74,46.6479,41.9713,136.0442,178.889,179.5735,179.1446,2.854,5.4158,172.5856,1.3435,1.4758,3.1893,2.4734,1.0892,-0.0128,-0.1304,-0.1804,-0.0264,-0.1279,-0.1905,-0.0392,-0.0358,4.88,1.62,3.42,6.46,1.58,4.69,6.28,3.11,3.11,1
1253.01,261.09,1739.73,167.24,3205.29,0.14,-0.0976,-0.2212,-0.2521,-0.2426,-0.25,-0.2286,-0.1487,-0.1465,0.2706,49.2707,52.3273,55.4126,54.4297,55.9393,56.1783,37.5665,56.2077,23.1413,124.0695,117.4199,114.8677,129.4735,115.5957,115.3311,126.6547,117.985,34.2636,29.4036,147.5438,179.7481,179.5097,179.5415,2.6124,1.5581,175.371,1.3455,1.4704,3.1807,2.4563,1.0891,-0.0098,-0.1397,-0.1758,-0.006,-0.1282,-0.2059,-0.0379,-0.0327,4.88,1.62,3.42,5.6,1.54,3.22,6.28,3.11,3.11,1
1250.34,271.51,1732.06,202.13,3187.18,0.25,-0.1083,-0.2138,-0.248,-0.0236,-0.2488,-0.2199,-0.1469,-0.1509,0.2694,52.5176,52.2943,54.4697,41.497,55.1088,56.0984,37.7469,57.1033,23.21,124.4615,117.5929,114.8266,129.5749,115.5376,115.5065,126.394,118.08,32.0567,27.4738,149.5256,179.8536,179.1217,179.7934,2.8115,1.4389,175.5429,1.3463,1.4686,3.1797,2.4582,1.0893,-0.0037,-0.1633,-0.1792,0.0184,-0.1258,-0.1825,-0.0378,-0.0306,4.88,1.62,3.42,5.61,1.54,3.21,7.28,1.67,3.39,1
1550.87,4.29,1739.97,247.4,3199.01,0.52,-0.0977,-0.2231,-0.2535,-0.2456,-0.2522,-0.2241,-0.1763,-0.3325,0.2609,50.157,51.6593,55.7507,54.2588,56.1039,60.3931,41.9782,65.2494,23.5803,122.7808,118.6343,116.1793,127.1793,116.6414,119.4981,122.4957,118.0062,0.033,0.0319,179.9674,179.9985,179.998,179.9996,0.0003,0.004,179.9953,1.3379,1.4686,3.039,2.4681,1.0896,-0.0313,-0.1113,-0.1379,-0.0298,-0.1603,-0.2423,-0.0364,-0.0311,4.99,1.63,3.4,2.06,1,1,6.28,3.11,3.11,1
1311.43,3.34,1727.68,291.11,3189.7,1.62,-0.0983,-0.2226,-0.2537,-0.2452,-0.2523,-0.2239,-0.1667,-0.3386,0.2615,49.5828,51.5917,55.6577,54.1622,55.9319,60.3111,39.0623,69.1466,23.5162,122.9672,118.469,116.1006,126.9619,116.9358,118.909,121.3801,119.7109,5.0001,4.5956,174.9192,179.5456,179.474,179.8717,0.6171,0.0616,179.4497,1.339,1.4687,3.041,2.4665,1.0892,-0.0252,-0.0086,-0.1449,-0.0821,-0.1595,-0.057,-0.0365,-0.0186,5.04,1.52,4.2,2.06,1,1,6.28,3.11,3.11,1
1560.61,27.39,1753.8,87.34,3167.09,19.12,-0.0376,-0.2336,-0.1947,-0.2054,-0.1929,-0.2421,-0.2794,0.0302,0.2522,38.8208,54.7668,50.988,75.037,51.3941,54.7129,61.6017,33.0138,24.7299,122.7501,118.8171,114.3862,128.2096,117.385,120.1541,125.8006,113.9838,41.2788,36.7312,141.6176,179.1446,179.2921,178.3411,3.3526,4.6877,173.6186,1.3434,1.4753,3.1676,2.4792,1.0902,-0.1593,0.0185,0.0188,-0.2176,-0.1069,-0.229,-0.0316,-0.0387,4.08,1.51,4.47,4.07,1.51,4.47,8.32,1.52,3.36,0
1324.55,9.52,1738.32,357.91,3201.36,0.62,-0.1027,-0.2194,-0.2538,-0.2411,-0.2519,-0.2198,-0.1568,-0.3536,0.2619,50.6707,51.1501,55.7206,53.1555,55.8978,59.5751,36.3665,67.1354,23.3837,122.6704,118.6078,116.032,126.8352,117.1327,119.5755,123.4354,116.9891,0.0155,0.0145,179.9844,179.999,179.9986,179.9995,0.0016,0.0003,179.9985,1.3394,1.4674,3.0299,2.4667,1.0895,-0.015,-0.1338,-0.1604,-0.0067,-0.1398,-0.2378,-0.0382,-0.0311,6.08,2.01,3.57,2.06,1,1,6.28,3.11,3.11,1
1238.35,12.13,1744.58,46.08,3203.92,25.23,-0.0915,-0.2283,-0.2529,-0.249,-0.251,-0.2283,-0.1954,-0.2374,0.2475,49.0442,52.5694,55.5975,55.2191,55.8619,61.359,50.9412,59.7409,23.5376,123.3304,118.2943,114.3634,126.4695,119.1671,125.2384,120.037,114.7245,0.0027,0.0077,179.9972,179.9993,179.998,179.9952,0.0002,0.0084,179.9967,1.342,1.4697,3.0403,2.4654,1.0888,-0.0006,-0.0512,-0.1458,-0.0874,-0.0927,-0.1993,-0.0311,-0.0312,6.28,3.11,3.11,2.06,1,1,5.78,1.5,3.19,1
1245.93,12.55,1761.18,2.37,3173.6,14.82,-0.0856,-0.234,-0.2524,-0.2544,-0.2509,-0.2343,-0.2363,-0.2252,0.2496,48.0596,55.3936,55.7538,56.1331,56.008,60.9152,47.4137,57.9184,24.4363,122.4422,119.0678,115.5417,126.1145,118.3378,122.9371,121.2446,115.8173,16.2905,15.3225,163.7707,178.9252,178.9081,177.8126,3.1169,1.8125,177.258,1.3365,1.4737,3.0326,2.4781,1.0906,-0.0804,-0.0975,-0.0832,-0.0633,-0.1929,-0.2324,-0.0387,-0.0363,8.42,2.74,6.12,2.06,1,1,6.28,3.11,3.11,1
1244.2,3.52,1742.79,9.2,3170.76,16.81,-0.0897,-0.2349,-0.253,-0.255,-0.2516,-0.2331,-0.2514,-0.4355,0.2482,47.835,54.5994,56.0607,56.5352,56.2138,62.4768,47.0747,71.2234,24.4356,122.7984,118.83,114.7163,126.5765,118.705,120.6546,122.6602,116.6843,7.1184,6.4695,172.9785,179.6603,179.6237,179.976,0.5476,0.3267,179.1016,1.3343,1.476,3.036,2.4765,1.0894,-0.088,-0.096,-0.0723,-0.0623,-0.2281,-0.2679,-0.0377,-0.036,2.06,1,1,2.06,1,1,6.28,3.11,3.11,1
